ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,Dataset
1,1.1,Ideal,H,SI1,VG,EX,GIA,5169.00000,Train
2,0.83,Ideal,H,VS1,ID,ID,AGSL,3470.00000,Train
3,0.85,Ideal,H,SI1,EX,EX,GIA,3183.00000,Train
4,0.91,Ideal,E,SI1,VG,VG,GIA,4370.00000,Train
5,0.83,Ideal,G,SI1,EX,EX,GIA,3171.00000,Train
6,1.53,Ideal,E,SI1,ID,ID,AGSL,12791.00000,Train
7,1,Very Good,D,SI1,VG,G,GIA,5747.00000,Train
8,1.5,Fair,F,SI1,VG,VG,GIA,10450.00000,Train
9,2.11,Ideal,H,SI1,VG,VG,GIA,18609.00000,Train
10,1.05,Very Good,E,VS1,VG,G,GIA,7666.00000,Train
11,0.91,Ideal,D,VS2,VG,VG,GIA,6224.00000,Train
12,1.01,Good,E,SI1,G,G,GIA,5161.00000,Train
13,0.92,Good,I,VS2,VG,VG,GIA,3679.00000,Train
14,2.51,Very Good,G,VS2,VG,VG,GIA,34361.00000,Train
15,1.5,Very Good,F,SI1,VG,VG,GIA,11004.00000,Train
16,2.2,Ideal,H,VS2,EX,VG,GIA,22241.00000,Train
17,1.52,Ideal,D,VS1,EX,EX,GIA,17659.00000,Train
18,1.28,Very Good,I,VS1,EX,VG,GIA,6726.00000,Train
19,1.01,Good,I,SI1,VG,VG,GIA,4238.00000,Train
20,0.9,Very Good,F,SI1,VG,EX,GIA,3624.00000,Train
21,2.6,Ideal,G,VS2,EX,EX,GIA,37621.00000,Train
22,0.8,Very Good,F,VS1,EX,G,GIA,3559.00000,Train
23,1.07,Very Good,G,SI1,G,G,GIA,4829.00000,Train
24,2.02,Good,I,VVS2,EX,VG,GIA,19756.00000,Train
25,2.16,Ideal,F,VVS1,ID,ID,AGSL,44121.00000,Train
26,2.03,Good,G,VS1,VG,VG,GIA,23726.00000,Train
27,2.02,Very Good,I,SI1,G,G,GIA,14839.00000,Train
28,1.01,Very Good,F,SI1,EX,EX,GIA,5010.00000,Train
29,2.41,Very Good,H,VS2,EX,EX,GIA,27337.00000,Train
30,0.9,Good,H,SI1,VG,G,GIA,3485.00000,Train
31,0.92,Ideal,G,SI1,G,VG,GIA,4025.00000,Train
32,1.01,Ideal,E,VVS2,EX,EX,GIA,9735.00000,Train
33,2.04,Very Good,D,VVS1,VG,VG,GIA,41867.00000,Train
34,1.56,Ideal,G,VS1,EX,EX,GIA,14957.00000,Train
35,0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3321.00000,Train
36,2.01,Very Good,I,VS1,VG,VG,GIA,18023.00000,Train
37,2.05,Very Good,H,VS2,VG,VG,GIA,19976.00000,Train
38,1.01,Very Good,F,VS2,VG,VG,GIA,6257.00000,Train
39,1.01,Very Good,E,SI1,EX,EX,GIA,5534.00000,Train
40,0.86,Ideal,E,SI1,EX,EX,GIA,4228.00000,Train
41,1.01,Good,G,SI1,VG,G,GIA,4905.00000,Train
42,2.29,Very Good,F,VS1,EX,VG,GIA,34657.00000,Train
43,1.28,Ideal,G,VVS2,ID,ID,AGSL,10958.00000,Train
44,2.12,Ideal,F,VS1,EX,EX,GIA,33667.00000,Train
45,0.9,Ideal,E,SI1,VG,VG,GIA,4921.00000,Train
46,1.44,Ideal,D,SI1,G,G,GIA,10768.00000,Train
